Año,temp,dew,humidity,precip,solarradiation,solarenergy,hours_of_light,Provincias,Comunidad,Superficie Plantación,Producción Total
2019,14.95068493150685,10.360547945205479,76.69041095890411,1246.726,52167.5,4511.0,4460.051944444444,Vizcaya,País Vasco,0,3
2020,15.64344262295082,11.077868852459016,76.64289617486338,1133.749,52602.9,4539.4,4469.081944444444,Vizcaya,País Vasco,0,3
2021,14.778356164383563,10.456986301369863,77.7827397260274,1292.138,51661.6,4461.2,4460.040277777778,Vizcaya,País Vasco,0,3
2022,16.14164383561644,11.246027397260274,75.6468493150685,839.412,52155.8,4501.2,4460.0408333333335,Vizcaya,País Vasco,0,3
2002,15.536986301369863,10.552328767123287,73.59698630136987,813.841,0.0,0.0,4456.664444444445,Barcelona,Cataluña,6,289
2003,17.497534246575345,11.88958904109589,71.43671232876713,825.499,0.0,0.0,4456.660555555555,Barcelona,Cataluña,6,280
2004,17.152732240437157,11.639617486338798,71.45163934426229,1130.064,0.0,0.0,4465.893611111111,Barcelona,Cataluña,5,255
2005,16.62054794520548,10.516712328767124,68.76191780821918,610.426,0.0,0.0,4456.654444444444,Barcelona,Cataluña,4,152
2006,17.364109589041096,11.012054794520548,67.66383561643835,349.908,0.0,0.0,4456.6547222222225,Barcelona,Cataluña,1,55
2007,16.2772602739726,8.757534246575343,62.847945205479455,530.515,0.0,0.0,4456.6575,Barcelona,Cataluña,2,80
2008,16.014207650273224,9.343989071038251,66.28224043715846,451.804,0.0,0.0,4465.894722222222,Barcelona,Cataluña,1,54
2009,16.520273972602737,9.89917808219178,66.78383561643835,350.009,0.0,0.0,4456.644166666667,Barcelona,Cataluña,1,50
2010,15.675068493150684,9.302465753424658,67.62767123287671,516.751,73851.6,6374.6,4456.649722222222,Barcelona,Cataluña,2,115
2011,16.987671232876714,11.196164383561644,70.27123287671233,688.317,74307.2,6412.6,4456.647222222222,Barcelona,Cataluña,2,103
2012,17.059016393442622,10.006010928961748,65.3639344262295,428.57,75913.8,6555.4,4465.887222222223,Barcelona,Cataluña,3,90
2013,16.593424657534246,10.301643835616439,68.30712328767123,592.576,74690.8,6446.2,4456.644166666667,Barcelona,Cataluña,2,39
2014,17.215342465753427,11.890958904109588,72.54931506849314,529.571,72631.3,6273.0,4456.644166666667,Barcelona,Cataluña,2,36
2015,17.18931506849315,11.304109589041095,70.13123287671233,325.716,67501.2,5826.8,4456.641944444445,Barcelona,Cataluña,2,70
2016,17.00409836065574,11.149180327868851,70.24863387978142,483.807,66825.2,5767.7,4465.876944444444,Barcelona,Cataluña,3,106
2017,17.111780821917808,11.175616438356164,69.72109589041096,425.751,68610.7,5926.6,4456.636111111111,Barcelona,Cataluña,3,106
2018,17.16109589041096,11.701917808219177,71.57780821917808,1369.563,59543.6,5136.7,4456.632777777778,Barcelona,Cataluña,2,71
2019,16.927945205479453,10.856986301369863,68.9372602739726,795.927,61696.7,5325.6,4456.631388888889,Barcelona,Cataluña,2,71
2020,17.298907103825137,12.762295081967213,75.98196721311476,1044.066,61702.9,5323.7,4465.866944444444,Barcelona,Cataluña,2,70
2021,16.904657534246574,12.43945205479452,76.06520547945205,366.127,57010.3,4921.0,4456.6258333333335,Barcelona,Cataluña,5,70
2022,17.92986301369863,11.986027397260273,70.05068493150685,373.904,58904.6,5088.9,4456.6225,Barcelona,Cataluña,5,70
2002,17.756438356164384,10.914794520547945,66.92547945205479,518.658,0.0,0.0,4456.124722222222,Tarragona,Cataluña,2381,46721
2003,17.89232876712329,10.273150684931506,63.889589041095896,565.14,0.0,0.0,4456.126111111111,Tarragona,Cataluña,2381,41192
2004,17.378688524590164,9.844808743169398,63.80792349726776,441.012,0.0,0.0,4465.393055555555,Tarragona,Cataluña,2381,62077
2005,17.095342465753426,8.795068493150685,61.4868493150685,734.407,0.0,0.0,4456.121666666667,Tarragona,Cataluña,2381,44327
2006,18.23068493150685,10.396986301369862,63.0131506849315,412.65500000000003,0.0,0.0,4456.119166666666,Tarragona,Cataluña,1948,58114
2007,17.893972602739726,8.824657534246576,58.63232876712328,280.104,0.0,0.0,4456.118055555556,Tarragona,Cataluña,1923,43481
2008,16.46912568306011,8.683333333333334,62.85109289617486,512.08,0.0,0.0,4465.388888888889,Tarragona,Cataluña,2258,66347
2009,16.415342465753426,8.954794520547946,64.1158904109589,625.1,0.0,0.0,4456.114722222223,Tarragona,Cataluña,2289,51031
2010,15.737808219178083,8.73013698630137,65.69095890410959,1534.27,74887.1,6467.7,4456.112222222222,Tarragona,Cataluña,2309,57092
2011,17.58082191780822,11.624657534246575,70.55287671232877,508.249,74872.5,6461.7,4456.1175,Tarragona,Cataluña,2450,35156
2012,17.008743169398908,10.003551912568307,66.49508196721311,414.943,76627.1,6619.2,4465.377777777778,Tarragona,Cataluña,2280,57892
2013,17.57041095890411,10.91945205479452,67.5413698630137,584.182,76044.4,6569.1,4456.1075,Tarragona,Cataluña,2292,44577
2014,17.51095890410959,11.908493150684933,72.31506849315069,561.284,73782.7,6372.6,4456.104444444444,Tarragona,Cataluña,2288,37444
2015,16.73068493150685,10.74931506849315,70.94684931506849,399.511,71231.7,6149.6,4456.107222222222,Tarragona,Cataluña,2219,38501
2016,16.98087431693989,10.63360655737705,69.44726775956285,434.748,70689.4,6103.5,4465.373055555556,Tarragona,Cataluña,2214,51230
2017,16.85945205479452,10.3786301369863,68.37260273972603,251.026,72651.9,6274.0,4456.098055555555,Tarragona,Cataluña,2183,28888
2018,17.138356164383563,11.08,70.2868493150685,691.923,65257.6,5636.7,4456.098055555555,Tarragona,Cataluña,2170,32105
2019,16.6813698630137,10.252328767123288,68.71150684931507,258.86,65970.1,5694.7,4456.093888888889,Tarragona,Cataluña,2186,40440
2020,16.785792349726776,10.755464480874316,70.47622950819672,475.116,62315.7,5378.5,4465.365,Tarragona,Cataluña,2178,43476
2021,16.504109589041096,10.360821917808218,69.66520547945206,366.643,56624.0,4885.8,4456.091666666666,Tarragona,Cataluña,2288,36097
2022,17.627671232876715,11.65095890410959,70.78,301.762,67069.0,5790.3,4456.093611111111,Tarragona,Cataluña,2080,26894
2002,17.247123287671233,12.864931506849315,77.48602739726027,713.2,0.0,0.0,4453.654444444444,Baleares,Baleares,2658,11600
2003,18.006027397260272,13.494246575342466,77.19260273972603,520.7,0.0,0.0,4453.654444444444,Baleares,Baleares,2658,11600
2004,17.450819672131146,12.570218579234972,75.43825136612023,413.59999999999997,0.0,0.0,4463.071944444445,Baleares,Baleares,1849,11532
2005,16.954246575342466,11.583561643835617,73.25479452054795,332.09999999999997,0.0,0.0,4453.643888888889,Baleares,Baleares,1849,12189
2006,17.933698630136988,12.705205479452054,73.9641095890411,436.9,0.0,0.0,4453.650277777778,Baleares,Baleares,1677,10300
2007,17.207123287671234,12.130684931506849,74.5123287671233,464.6,0.0,0.0,4453.6466666666665,Baleares,Baleares,1677,12352
2008,16.955191256830602,11.861202185792349,74.25191256830601,481.2,0.0,0.0,4463.0680555555555,Baleares,Baleares,1677,11511
2009,17.22794520547945,12.050684931506849,74.31972602739727,532.3,0.0,0.0,4453.639722222222,Baleares,Baleares,1677,6741
2010,16.494520547945207,11.610684931506848,75.26328767123287,549.5,76771.3,6629.4,4453.643333333333,Baleares,Baleares,1677,5170
2011,17.493972602739728,12.967945205479452,77.23369863013698,481.1,76385.3,6592.1,4453.644166666667,Baleares,Baleares,1677,9076
